y,z,theta
0.00000000,0.00000000,7.500000000000e-01
0.01612903,0.00000000,5.000000000000e-01
0.04838710,0.00000000,5.000000000000e-01
0.08064516,0.00000000,5.000000000000e-01
0.11290323,0.00000000,5.000000000000e-01
0.14516129,0.00000000,5.000000000000e-01
0.17741935,0.00000000,5.000000000000e-01
0.20967742,0.00000000,5.000000000000e-01
0.24193548,0.00000000,5.000000000000e-01
0.27419355,0.00000000,5.000000000000e-01
0.30645161,0.00000000,5.000000000000e-01
0.33870968,0.00000000,5.000000000000e-01
0.37096774,0.00000000,5.000000000000e-01
0.40322581,0.00000000,5.000000000000e-01
0.43548387,0.00000000,5.000000000000e-01
0.46774194,0.00000000,5.000000000000e-01
0.50000000,0.00000000,5.000000000000e-01
0.53225806,0.00000000,5.000000000000e-01
0.56451613,0.00000000,5.000000000000e-01
0.59677419,0.00000000,5.000000000000e-01
0.62903226,0.00000000,5.000000000000e-01
0.66129032,0.00000000,5.000000000000e-01
0.69354839,0.00000000,5.000000000000e-01
0.72580645,0.00000000,5.000000000000e-01
0.75806452,0.00000000,5.000000000000e-01
0.79032258,0.00000000,5.000000000000e-01
0.82258065,0.00000000,5.000000000000e-01
0.85483871,0.00000000,5.000000000000e-01
0.88709677,0.00000000,5.000000000000e-01
0.91935484,0.00000000,5.000000000000e-01
0.95161290,0.00000000,5.000000000000e-01
0.98387097,0.00000000,5.000000000000e-01
1.00000000,0.00000000,5.000000000000e-01
0.00000000,0.01612903,1.000000000000e+00
0.01612903,0.01612903,7.511398978986e-01
0.04838710,0.01612903,6.735600602279e-01
0.08064516,0.01612903,6.204392792018e-01
0.11290323,0.01612903,5.858602697110e-01
0.14516129,0.01612903,5.633400124027e-01
0.17741935,0.01612903,5.485848664963e-01
0.20967742,0.01612903,5.387840998046e-01
0.24193548,0.01612903,5.321072657757e-01
0.27419355,0.01612903,5.273842722997e-01
0.30645161,0.01612903,5.238854788158e-01
0.33870968,0.01612903,5.211664736851e-01
0.37096774,0.01612903,5.189613265646e-01
0.40322581,0.01612903,5.171109114357e-01
0.43548387,0.01612903,5.155186177055e-01
0.46774194,0.01612903,5.141237252893e-01
0.50000000,0.01612903,5.128861877271e-01
0.53225806,0.01612903,5.117782271917e-01
0.56451613,0.01612903,5.107797342276e-01
0.59677419,0.01612903,5.098756650907e-01
0.62903226,0.01612903,5.090544304478e-01
0.66129032,0.01612903,5.083067490451e-01
0.69354839,0.01612903,5.076246960038e-01
0.72580645,0.01612903,5.070007916886e-01
0.75806452,0.01612903,5.064270029826e-01
0.79032258,0.01612903,5.058936208361e-01
0.82258065,0.01612903,5.053877231903e-01
0.85483871,0.01612903,5.048902957837e-01
0.88709677,0.01612903,5.043692346797e-01
0.91935484,0.01612903,5.037787300582e-01
0.95161290,0.01612903,5.030511185415e-01
0.98387097,0.01612903,5.021669349946e-01
1.00000000,0.01612903,5.000000000000e-01
0.00000000,0.04838710,1.000000000000e+00
0.01612903,0.04838710,8.179594775744e-01
0.04838710,0.04838710,7.368806763406e-01
0.08064516,0.04838710,6.680873445098e-01
0.11290323,0.04838710,6.220754747113e-01
0.14516129,0.04838710,5.914182854934e-01
0.17741935,0.04838710,5.709705450552e-01
0.20967742,0.04838710,5.572271897805e-01
0.24193548,0.04838710,5.477776409445e-01
0.27419355,0.04838710,5.410228570201e-01
0.30645161,0.04838710,5.359500038640e-01
0.33870968,0.04838710,5.319438216788e-01
0.37096774,0.04838710,5.286421633128e-01
0.40322581,0.04838710,5.258337515732e-01
0.43548387,0.04838710,5.233932182086e-01
0.46774194,0.04838710,5.212425207068e-01
0.50000000,0.04838710,5.193295535360e-01
0.53225806,0.04838710,5.176169853182e-01
0.56451613,0.04838710,5.160766036188e-01
0.59677419,0.04838710,5.146863213021e-01
0.62903226,0.04838710,5.134284090466e-01
0.66129032,0.04838710,5.122882309182e-01
0.69354839,0.04838710,5.112529872332e-01
0.72580645,0.04838710,5.103103277701e-01
0.75806452,0.04838710,5.094466188794e-01
0.79032258,0.04838710,5.086452866805e-01
0.82258065,0.04838710,5.078868283626e-01
0.85483871,0.04838710,5.071405335578e-01
0.88709677,0.04838710,5.063415154136e-01
0.91935484,0.04838710,5.054012416125e-01
0.95161290,0.04838710,5.041796775886e-01
0.98387097,0.04838710,5.028999483706e-01
1.00000000,0.04838710,5.000000000000e-01
0.00000000,0.08064516,1.000000000000e+00
0.01612903,0.08064516,8.565243951093e-01
0.04838710,0.08064516,7.815370481594e-01
0.08064516,0.08064516,7.092139490919e-01
0.11290323,0.08064516,6.556652909404e-01
0.14516129,0.08064516,6.182390371645e-01
0.17741935,0.08064516,5.925669989775e-01
0.20967742,0.08064516,5.750042166872e-01
0.24193548,0.08064516,5.627883658528e-01
0.27419355,0.08064516,5.539872272642e-01
0.30645161,0.08064516,5.473394013627e-01
0.33870968,0.08064516,5.420660984191e-01
0.37096774,0.08064516,5.377043911081e-01
0.40322581,0.08064516,5.339837120497e-01
0.43548387,0.08064516,5.307437908449e-01
0.46774194,0.08064516,5.278850741189e-01
0.50000000,0.08064516,5.253410958638e-01
0.53225806,0.08064516,5.230640234732e-01
0.56451613,0.08064516,5.210173230706e-01
0.59677419,0.08064516,5.191720299200e-01
0.62903226,0.08064516,5.175046362053e-01
0.66129032,0.08064516,5.159954198794e-01
0.69354839,0.08064516,5.146269435562e-01
0.72580645,0.08064516,5.133822716307e-01
0.75806452,0.08064516,5.122426639298e-01
0.79032258,0.08064516,5.111853534016e-01
0.82258065,0.08064516,5.101837641814e-01
0.85483871,0.08064516,5.091957900572e-01
0.88709677,0.08064516,5.081330488923e-01
0.91935484,0.08064516,5.068762982834e-01
0.95161290,0.08064516,5.052484343592e-01
0.98387097,0.08064516,5.034857343198e-01
1.00000000,0.08064516,5.000000000000e-01
