TITLE = "Sun2012 Fig.3 isotherms at x*=0.5"
VARIABLES = "Y", "Z", "T"
ZONE T="0.05", I=33, J=33, F=POINT
0.00000000e+00 0.00000000e+00 7.50000000e-01
1.61290323e-02 0.00000000e+00 5.00000000e-01
4.83870968e-02 0.00000000e+00 5.00000000e-01
8.06451613e-02 0.00000000e+00 5.00000000e-01
1.12903226e-01 0.00000000e+00 5.00000000e-01
1.45161290e-01 0.00000000e+00 5.00000000e-01
1.77419355e-01 0.00000000e+00 5.00000000e-01
2.09677419e-01 0.00000000e+00 5.00000000e-01
2.41935484e-01 0.00000000e+00 5.00000000e-01
2.74193548e-01 0.00000000e+00 5.00000000e-01
3.06451613e-01 0.00000000e+00 5.00000000e-01
3.38709677e-01 0.00000000e+00 5.00000000e-01
3.70967742e-01 0.00000000e+00 5.00000000e-01
4.03225806e-01 0.00000000e+00 5.00000000e-01
4.35483871e-01 0.00000000e+00 5.00000000e-01
4.67741935e-01 0.00000000e+00 5.00000000e-01
5.00000000e-01 0.00000000e+00 5.00000000e-01
5.32258065e-01 0.00000000e+00 5.00000000e-01
5.64516129e-01 0.00000000e+00 5.00000000e-01
5.96774194e-01 0.00000000e+00 5.00000000e-01
6.29032258e-01 0.00000000e+00 5.00000000e-01
6.61290323e-01 0.00000000e+00 5.00000000e-01
6.93548387e-01 0.00000000e+00 5.00000000e-01
7.25806452e-01 0.00000000e+00 5.00000000e-01
7.58064516e-01 0.00000000e+00 5.00000000e-01
7.90322581e-01 0.00000000e+00 5.00000000e-01
8.22580645e-01 0.00000000e+00 5.00000000e-01
8.54838710e-01 0.00000000e+00 5.00000000e-01
8.87096774e-01 0.00000000e+00 5.00000000e-01
9.19354839e-01 0.00000000e+00 5.00000000e-01
9.51612903e-01 0.00000000e+00 5.00000000e-01
9.83870968e-01 0.00000000e+00 5.00000000e-01
1.00000000e+00 0.00000000e+00 5.00000000e-01
0.00000000e+00 1.61290323e-02 1.00000000e+00
1.61290323e-02 1.61290323e-02 7.59018863e-01
4.83870968e-02 1.61290323e-02 6.87962915e-01
8.06451613e-02 1.61290323e-02 6.41052216e-01
1.12903226e-01 1.61290323e-02 6.10900525e-01
1.45161290e-01 1.61290323e-02 5.90930725e-01
1.77419355e-01 1.61290323e-02 5.77178286e-01
2.09677419e-01 1.61290323e-02 5.67269750e-01
2.41935484e-01 1.61290323e-02 5.59777309e-01
2.74193548e-01 1.61290323e-02 5.53841061e-01
3.06451613e-01 1.61290323e-02 5.48942771e-01
3.38709677e-01 1.61290323e-02 5.44768208e-01
3.70967742e-01 1.61290323e-02 5.41123512e-01
4.03225806e-01 1.61290323e-02 5.37885168e-01
4.35483871e-01 1.61290323e-02 5.34970788e-01
4.67741935e-01 1.61290323e-02 5.32322451e-01
5.00000000e-01 1.61290323e-02 5.29897342e-01
5.32258065e-01 1.61290323e-02 5.27662438e-01
5.64516129e-01 1.61290323e-02 5.25591319e-01
5.96774194e-01 1.61290323e-02 5.23662038e-01
6.29032258e-01 1.61290323e-02 5.21855530e-01
6.61290323e-01 1.61290323e-02 5.20154209e-01
6.93548387e-01 1.61290323e-02 5.18540955e-01
7.25806452e-01 1.61290323e-02 5.16997722e-01
7.58064516e-01 1.61290323e-02 5.15505481e-01
7.90322581e-01 1.61290323e-02 5.14040926e-01
8.22580645e-01 1.61290323e-02 5.12572116e-01
8.54838710e-01 1.61290323e-02 5.11064376e-01
8.87096774e-01 1.61290323e-02 5.09472400e-01
