x,0.005,0.015,0.05,ss,ss-1,ss-2,ss-3,ss-4
0.38943,0.50762,0.53199,0.62506,0.67239,0.5103,0.54137,0.6367,0.67167
0.38947,0.50762,0.53198,0.62503,0.67237,0.5103,0.54136,0.63668,0.67164
0.39163,0.50757,0.5316,0.62394,0.67136,0.5102,0.54084,0.63559,0.67056
0.39184,0.50756,0.53156,0.62384,0.67127,0.5102,0.54079,0.63549,0.67046
0.43344,0.50665,0.52513,0.60476,0.65257,0.50855,0.53257,0.61635,0.65087
0.43822,0.50656,0.52453,0.60286,0.65045,0.50839,0.5318,0.61434,0.64876
0.47139,0.50598,0.52132,0.59106,0.63605,0.50738,0.52735,0.60123,0.63483
0.48224,0.50578,0.52065,0.58757,0.63158,0.5071,0.52616,0.59722,0.63052
0.49982,0.50544,0.51988,0.58215,0.62474,0.50669,0.52445,0.59099,0.62378
0.5004,0.50543,0.51986,0.58197,0.62452,0.50668,0.5244,0.59079,0.62356
0.50122,0.50541,0.51983,0.58172,0.62422,0.50666,0.52433,0.5905,0.62325
0.50146,0.50541,0.51982,0.58165,0.62413,0.50665,0.52431,0.59042,0.62316
0.50592,0.50532,0.51967,0.5803,0.6225,0.50656,0.52392,0.58889,0.6215
0.52156,0.50502,0.51919,0.57559,0.61711,0.50627,0.52265,0.58367,0.6158
0.55333,0.50452,0.51814,0.56663,0.60759,0.50575,0.52047,0.57377,0.60488
0.56826,0.50439,0.51749,0.56294,0.60357,0.50552,0.51958,0.56946,0.60005
0.57071,0.50437,0.51737,0.56237,0.60293,0.50549,0.51944,0.56878,0.59927
0.60926,0.5044,0.5154,0.55444,0.5932,0.50483,0.51735,0.55885,0.58775
0.61168,0.5044,0.51528,0.55399,0.5926,0.50478,0.51722,0.55829,0.58707
0.61206,0.5044,0.51526,0.55392,0.5925,0.50477,0.5172,0.5582,0.58696
0.61285,0.50441,0.51522,0.55377,0.59231,0.50476,0.51716,0.55802,0.58674
0.6187,0.50442,0.51492,0.55268,0.59084,0.50464,0.51685,0.55669,0.58511
0.64184,0.50442,0.51388,0.54845,0.58498,0.50411,0.5156,0.55179,0.57891
0.64904,0.50437,0.51362,0.54715,0.58314,0.50393,0.51521,0.55037,0.57705
0.65555,0.5043,0.51342,0.54597,0.58146,0.50377,0.51486,0.54913,0.57539
0.71221,0.50271,0.51257,0.53625,0.5668,0.50255,0.51206,0.53943,0.56171
0.71579,0.50258,0.5125,0.53568,0.56588,0.50249,0.5119,0.53885,0.56088
0.71755,0.50252,0.51246,0.53541,0.56543,0.50247,0.51183,0.53857,0.56047
0.71865,0.50248,0.51244,0.53524,0.56515,0.50245,0.51178,0.53839,0.56022
0.7209,0.5024,0.51238,0.53489,0.56458,0.50242,0.51169,0.53803,0.5597
0.72663,0.5022,0.51222,0.53402,0.56311,0.50235,0.51147,0.53711,0.55838
0.73242,0.50201,0.51203,0.53318,0.56164,0.5023,0.51125,0.53619,0.55706
0.73319,0.50199,0.512,0.53307,0.56145,0.50229,0.51122,0.53607,0.55688
0.7876,0.50077,0.50939,0.52632,0.5481,0.50213,0.50945,0.52776,0.54506
0.81001,0.50061,0.50828,0.52387,0.54303,0.50216,0.50865,0.52467,0.54065
0.81077,0.50061,0.50825,0.52378,0.54287,0.50216,0.50862,0.52457,0.54051
0.81147,0.50061,0.50822,0.5237,0.54271,0.50216,0.5086,0.52448,0.54038
0.81291,0.50061,0.50815,0.52354,0.54239,0.50216,0.50854,0.52429,0.54011
0.81292,0.50061,0.50815,0.52354,0.54239,0.50216,0.50854,0.52429,0.5401
0.81297,0.50061,0.50815,0.52354,0.54238,0.50216,0.50854,0.52428,0.54009
0.81367,0.50061,0.50812,0.52346,0.54223,0.50216,0.50851,0.52419,0.53996
0.84342,0.50074,0.50704,0.51991,0.53563,0.50214,0.50721,0.52059,0.53465
0.86841,0.50091,0.50626,0.51675,0.52987,0.50199,0.50625,0.51778,0.53028
0.89051,0.50098,0.50542,0.51407,0.5247,0.50169,0.50586,0.51527,0.52612
0.89125,0.50098,0.50539,0.51398,0.52453,0.50168,0.50586,0.51518,0.52598
0.89268,0.50098,0.50533,0.51381,0.52419,0.50165,0.50586,0.51501,0.52569
0.89304,0.50098,0.50531,0.51377,0.52411,0.50165,0.50586,0.51497,0.52561
0.8934,0.50098,0.5053,0.51372,0.52403,0.50164,0.50587,0.51492,0.52554
0.89416,0.50098,0.50526,0.51363,0.52385,0.50163,0.50587,0.51483,0.52538
0.9217,0.50086,0.50393,0.51027,0.51743,0.50094,0.5067,0.5113,0.51909
0.92388,0.50085,0.50382,0.51,0.51693,0.50088,0.5068,0.51101,0.51854
0.95215,0.50058,0.50229,0.5064,0.51046,0.50027,0.50758,0.50714,0.51131
0.95215,0.50058,0.50229,0.5064,0.51046,0.50027,0.50758,0.50714,0.51131
0.9525,0.50058,0.50227,0.50635,0.51038,0.50026,0.50758,0.50709,0.51123
0.95288,0.50057,0.50225,0.5063,0.51029,0.50026,0.50757,0.50704,0.51113
0.99094,0.50011,0.50008,0.50136,0.50174,0.50134,0.50386,0.50224,0.50285
0.99638,0.50004,0.49977,0.50065,0.50053,0.50162,0.50301,0.50159,0.50178
0.99855,0.50001,0.49964,0.50036,0.50004,0.50173,0.50266,0.50133,0.50135
0.99855,0.50001,0.49964,0.50036,0.50004,0.50173,0.50266,0.50133,0.50135
0.99927,0.5,0.4996,0.50027,0.49988,0.50176,0.50255,0.50125,0.50121
0.99964,0.5,0.49958,0.50022,0.4998,0.50178,0.50249,0.5012,0.50114
1,0.49999,0.49956,0.50017,0.49972,0.5018,0.50243,0.50116,0.50107
1.00072,0.49998,0.49951,0.50008,0.49956,0.50183,0.50232,0.50107,0.50092
