x,0.005,0.015,0.05,SS,SS-1,SS-2,SS-3,SS-4
0.28162,0.509042,0.557638,0.681865,0.727293,0.513567,0.574426,0.694491,0.726462
0.2817,0.509038,0.557591,0.681803,0.727243,0.513559,0.574378,0.694434,0.726409
0.28232,0.509002,0.557211,0.681305,0.726845,0.513499,0.573994,0.693971,0.725987
0.28313,0.508955,0.556712,0.680646,0.726317,0.51342,0.573488,0.693359,0.725428
0.28382,0.508917,0.5563,0.680098,0.725877,0.513355,0.573068,0.692849,0.724963
0.3096,0.507657,0.543695,0.660421,0.709205,0.511213,0.559029,0.67443,0.707918
0.32061,0.507219,0.539774,0.652755,0.701788,0.510475,0.553977,0.667019,0.700942
0.32121,0.507197,0.539577,0.652352,0.701378,0.510438,0.553717,0.666623,0.700568
0.35083,0.506288,0.531217,0.633571,0.682011,0.508925,0.54247,0.64792,0.682676
0.35956,0.506097,0.529156,0.628297,0.677058,0.508595,0.53971,0.642728,0.677638
0.36635,0.505973,0.527663,0.624211,0.673436,0.508371,0.537716,0.638783,0.673789
0.38723,0.505704,0.523708,0.611923,0.663096,0.507848,0.532358,0.627158,0.66234
0.38815,0.505695,0.523556,0.611402,0.662655,0.50783,0.532145,0.626657,0.661843
0.38941,0.505683,0.523354,0.610702,0.662061,0.507807,0.53186,0.625982,0.661173
0.38981,0.50568,0.523292,0.610485,0.661876,0.5078,0.531771,0.625772,0.660965
0.38986,0.505679,0.523283,0.610455,0.661851,0.507799,0.531759,0.625744,0.660936
0.41638,0.505489,0.519939,0.597198,0.649795,0.507463,0.526577,0.612155,0.647303
0.43162,0.505374,0.518655,0.59071,0.643166,0.507358,0.524225,0.604878,0.639887
0.43913,0.505302,0.518142,0.587733,0.639956,0.507317,0.523208,0.601429,0.63634
0.4587,0.505075,0.517032,0.580536,0.631772,0.507211,0.520941,0.59288,0.627457
0.49572,0.50463,0.515261,0.568696,0.617178,0.506823,0.517751,0.578391,0.612083
0.49975,0.504589,0.515076,0.567529,0.615673,0.506751,0.51746,0.576945,0.610526
0.4999,0.504588,0.515069,0.567485,0.615617,0.506748,0.51745,0.576891,0.610468
0.49992,0.504588,0.515068,0.567481,0.615611,0.506748,0.517448,0.576885,0.610462
0.50028,0.504584,0.515051,0.567375,0.615474,0.506741,0.517422,0.576754,0.61032
0.51547,0.504461,0.514339,0.563169,0.609978,0.506401,0.516391,0.571539,0.604669
0.53503,0.504377,0.513337,0.558124,0.603321,0.505847,0.515188,0.565322,0.597843
0.53717,0.504372,0.513214,0.557596,0.602625,0.505781,0.515065,0.564676,0.597127
0.57695,0.504247,0.51097,0.548474,0.590621,0.50454,0.513003,0.553721,0.584686
0.59339,0.504113,0.510916,0.545081,0.586077,0.504108,0.512265,0.549753,0.579982
0.60087,0.504022,0.510965,0.543609,0.584066,0.503946,0.511948,0.548045,0.57791
0.60976,0.503886,0.51102,0.541922,0.581715,0.503789,0.511585,0.546091,0.575498
0.60981,0.503885,0.51102,0.541914,0.581703,0.503788,0.511583,0.546082,0.575486
0.6102,0.503878,0.511022,0.541841,0.5816,0.503782,0.511568,0.545997,0.575381
0.61226,0.503843,0.511031,0.541461,0.581061,0.503752,0.511486,0.545557,0.57483
0.63148,0.503458,0.510991,0.538109,0.576104,0.503587,0.510755,0.541652,0.569818
0.63675,0.50334,0.510936,0.537248,0.574755,0.503573,0.510565,0.540638,0.56848
0.68496,0.502273,0.509883,0.530475,0.562768,0.503962,0.509003,0.532415,0.556967
0.69088,0.502165,0.509717,0.529755,0.56138,0.504061,0.50883,0.53152,0.555636
0.71515,0.50182,0.509009,0.526986,0.555974,0.504547,0.508147,0.528083,0.550362
0.71587,0.501811,0.508988,0.526908,0.555822,0.504563,0.508128,0.527987,0.550211
0.71667,0.501802,0.508964,0.526821,0.555651,0.504581,0.508106,0.527879,0.550041
0.7168,0.501801,0.50896,0.526807,0.555623,0.504584,0.508102,0.527862,0.550014
0.7175,0.501793,0.508939,0.526731,0.555476,0.5046,0.508083,0.527768,0.549867
0.71789,0.501789,0.508928,0.526689,0.555393,0.504608,0.508072,0.527716,0.549784
0.77782,0.501254,0.507158,0.520702,0.543567,0.505804,0.506575,0.520721,0.537997
0.78936,0.501126,0.506818,0.519628,0.54139,0.505879,0.506331,0.519579,0.535904
0.80887,0.500881,0.506245,0.517847,0.53772,0.505764,0.505964,0.517766,0.532488
0.80903,0.500879,0.50624,0.517833,0.53769,0.505761,0.505961,0.517752,0.532461
0.8101,0.500865,0.506209,0.517736,0.537488,0.505744,0.505943,0.517656,0.532278
0.81071,0.500857,0.506191,0.517681,0.537373,0.505734,0.505932,0.517602,0.532174
0.81132,0.50085,0.506173,0.517627,0.537258,0.505724,0.505922,0.517548,0.532071
0.81225,0.500838,0.506146,0.517543,0.537083,0.505707,0.505907,0.517466,0.531913
0.86168,0.500341,0.504699,0.513216,0.527592,0.504111,0.505324,0.513392,0.524019
0.88633,0.500205,0.503979,0.511127,0.52282,0.50353,0.505218,0.511533,0.520491
0.89029,0.500188,0.503864,0.510796,0.522056,0.503517,0.505214,0.511242,0.519952
0.89078,0.500186,0.503849,0.510754,0.52196,0.503517,0.505214,0.511206,0.519885
0.89193,0.500181,0.503816,0.510658,0.521738,0.503521,0.505214,0.511122,0.519729
0.89253,0.500178,0.503798,0.510607,0.521622,0.503524,0.505214,0.511078,0.519649
0.8927,0.500178,0.503794,0.510594,0.52159,0.503525,0.505214,0.511066,0.519627
0.89315,0.500176,0.50378,0.510556,0.521503,0.503528,0.505214,0.511033,0.519567
0.94892,0.500014,0.502151,0.505951,0.510774,0.506165,0.505267,0.506796,0.512344
0.94933,0.500013,0.502139,0.505918,0.510696,0.506175,0.505263,0.506761,0.512287
0.95146,0.500009,0.502077,0.505743,0.510286,0.506211,0.505237,0.506573,0.511986
0.95232,0.500007,0.502052,0.505673,0.510121,0.506219,0.505225,0.506497,0.511863
0.98915,0.499938,0.500975,0.502675,0.503055,0.503755,0.503794,0.502825,0.505322
0.98993,0.499937,0.500952,0.502611,0.502905,0.503667,0.503751,0.502742,0.505162
0.99085,0.499935,0.500926,0.502536,0.502729,0.503563,0.5037,0.502644,0.504976
0.99207,0.499933,0.50089,0.502437,0.502495,0.503425,0.503632,0.502513,0.504728
0.99641,0.499926,0.500763,0.502084,0.501661,0.502939,0.503396,0.502047,0.503854
0.99835,0.499922,0.500706,0.501927,0.50129,0.502728,0.503293,0.501839,0.503472
0.99862,0.499922,0.500698,0.501904,0.501238,0.502699,0.503279,0.50181,0.503419
1.00055,0.499918,0.500642,0.501748,0.500869,0.502496,0.503181,0.501603,0.503045
