x,t=0.0025,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000
0.01000000,9.447711470383e-001,9.626215087369e-001,9.791375701667e-001,9.876050465517e-001,9.942929583927e-001
0.02000000,8.899180041512e-001,9.249158229058e-001,9.583487088832e-001,9.756061167727e-001,9.890303316958e-001
0.03000000,8.364037878407e-001,8.873122270221e-001,9.374353858795e-001,9.635595920646e-001,9.837925911566e-001
0.04000000,7.859160489743e-001,8.504749878342e-001,9.166316979807e-001,9.515890366743e-001,9.786517566980e-001
0.05000000,7.399453894475e-001,8.151478965693e-001,8.962009311111e-001,9.398293030114e-001,9.736662782022e-001
0.06000000,6.989692245984e-001,7.816588781679e-001,8.762053107646e-001,9.282870542107e-001,9.688271046252e-001
0.07000000,6.631347100807e-001,7.502163781472e-001,8.566708935400e-001,9.169517411923e-001,9.641229232913e-001
0.08000000,6.323627397776e-001,7.209820010512e-001,8.376268706492e-001,9.058148561288e-001,9.595432641327e-001
0.09000000,6.063922428407e-001,6.940634871565e-001,8.191026286031e-001,8.948695075675e-001,9.550784020225e-001
0.10000000,5.848327149389e-001,6.695147701963e-001,8.011269205311e-001,8.841102439407e-001,9.507192897659e-001
0.11000000,5.672141412724e-001,6.473386045357e-001,7.837270987132e-001,8.735328897905e-001,9.464574975578e-001
0.12000000,5.530302232286e-001,6.274914472345e-001,7.669284739329e-001,8.631343939697e-001,9.422851583437e-001
0.13000000,5.417730761743e-001,6.098899200427e-001,7.507537554680e-001,8.529126896971e-001,9.381949184248e-001
0.14000000,5.329588850353e-001,5.944181707067e-001,7.352225426483e-001,8.428665584973e-001,9.341798927595e-001
0.15000000,5.261450488515e-001,5.809355973532e-001,7.203509529102e-001,8.329955178670e-001,9.302336243623e-001
0.16000000,5.209399724528e-001,5.692844629980e-001,7.061513543173e-001,8.232997117305e-001,9.263500477470e-001
0.17000000,5.170069616636e-001,5.592969991755e-001,6.926321857795e-001,8.137797919812e-001,9.225234536699e-001
0.18000000,5.140637306603e-001,5.508017273279e-001,6.797978777149e-001,8.044368214209e-001,9.187484624098e-001
