x,0.005,0.015,0.05,SS,SS-1,SS-2,SS-3,SS-4
0.28343,0.500136,0.534534,0.644767,0.702817,0.504874,0.555119,0.667765,0.704393
0.28388,0.500122,0.534298,0.644402,0.702465,0.504842,0.554854,0.667403,0.704058
0.29609,0.499803,0.528689,0.634672,0.693257,0.504051,0.548005,0.657736,0.695142
0.30181,0.499683,0.526416,0.63028,0.689255,0.503737,0.54505,0.653352,0.69111
0.31346,0.499487,0.522323,0.621689,0.681643,0.503199,0.539507,0.644714,0.683173
0.3283,0.499291,0.518022,0.611406,0.672461,0.502684,0.533274,0.634224,0.673523
0.35197,0.499158,0.512857,0.596334,0.657885,0.502173,0.525034,0.618609,0.659041
0.35891,0.499161,0.511669,0.592199,0.653453,0.502078,0.522976,0.614282,0.654982
0.36784,0.499168,0.510319,0.587052,0.647678,0.501985,0.52054,0.608865,0.649859
0.38847,0.499185,0.50773,0.576055,0.63485,0.501856,0.515774,0.597019,0.63844
0.38952,0.499186,0.507613,0.575533,0.634237,0.501851,0.515562,0.596441,0.637873
0.38998,0.499187,0.507561,0.575302,0.633966,0.501849,0.515468,0.596185,0.637621
0.39001,0.499187,0.507558,0.575292,0.633954,0.501849,0.515464,0.596173,0.63761
0.40424,0.4992,0.506075,0.568582,0.626188,0.501803,0.512863,0.588568,0.630045
0.4143,0.499209,0.50512,0.564171,0.621285,0.501784,0.511305,0.583453,0.624846
0.42331,0.499218,0.504314,0.560391,0.617209,0.501773,0.510091,0.57906,0.620304
0.44864,0.499241,0.502135,0.550516,0.606717,0.501768,0.507474,0.567653,0.608144
0.46973,0.499261,0.500857,0.54324,0.59854,0.501776,0.506016,0.559236,0.598791
0.47182,0.499263,0.500835,0.542578,0.597741,0.501776,0.5059,0.558458,0.597907
0.49823,0.499287,0.500752,0.535214,0.587722,0.50177,0.504744,0.549419,0.587399
0.49931,0.499288,0.500752,0.534951,0.58732,0.50177,0.504707,0.549083,0.586998
0.49984,0.499289,0.500752,0.534823,0.587122,0.501769,0.504689,0.548918,0.586802
0.50033,0.499289,0.500752,0.534706,0.586942,0.501768,0.504672,0.548768,0.586623
0.53361,0.49932,0.500756,0.527525,0.575058,0.501699,0.503781,0.539579,0.575351
0.54048,0.499326,0.500758,0.526175,0.572767,0.501677,0.503648,0.537928,0.573249
0.54414,0.49933,0.500759,0.52547,0.571576,0.501664,0.503583,0.53708,0.572157
0.60963,0.49939,0.500766,0.514743,0.553619,0.501357,0.502992,0.524932,0.555236
0.61014,0.499391,0.500766,0.514675,0.553499,0.501355,0.50299,0.524855,0.555118
0.61119,0.499392,0.500766,0.514537,0.553259,0.501349,0.502988,0.524701,0.55488
0.61121,0.499392,0.500766,0.514534,0.553253,0.501349,0.502988,0.524697,0.554874
0.61699,0.499397,0.500766,0.513791,0.551938,0.501317,0.502978,0.523856,0.553564
0.64077,0.499419,0.500766,0.511124,0.546851,0.501183,0.50298,0.520685,0.548385
0.69354,0.499468,0.500764,0.507227,0.536866,0.50082,0.502978,0.514942,0.537981
0.71572,0.499489,0.500762,0.506144,0.533022,0.500622,0.502913,0.512885,0.534
0.71623,0.499489,0.500762,0.506122,0.532936,0.500617,0.502911,0.512839,0.533911
0.71783,0.499491,0.500762,0.506053,0.532667,0.500601,0.502905,0.512696,0.533633
0.71783,0.499491,0.500762,0.506052,0.532667,0.500601,0.502905,0.512695,0.533632
0.74845,0.499519,0.500759,0.504839,0.527743,0.500279,0.502758,0.510047,0.528515
0.76216,0.499532,0.500758,0.50421,0.525716,0.50014,0.502681,0.508929,0.526372
0.80703,0.499573,0.500753,0.502836,0.519964,0.499892,0.502396,0.505676,0.520183
0.81019,0.499576,0.500753,0.502781,0.519583,0.499895,0.502375,0.505477,0.519804
0.81073,0.499577,0.500752,0.502772,0.519518,0.499896,0.502371,0.505444,0.519741
0.81073,0.499577,0.500752,0.502772,0.519518,0.499896,0.502371,0.505444,0.51974
0.81917,0.499584,0.500751,0.502635,0.518492,0.499923,0.502314,0.504939,0.518773
0.8899,0.49965,0.500742,0.50168,0.51017,0.500484,0.501803,0.502474,0.512236
0.89149,0.499651,0.500742,0.50166,0.510003,0.500485,0.501791,0.502451,0.5121
0.89202,0.499652,0.500742,0.501654,0.509948,0.500485,0.501787,0.502443,0.512054
0.89254,0.499652,0.500742,0.501647,0.509893,0.500485,0.501783,0.502436,0.512009
0.89518,0.499655,0.500742,0.501615,0.509621,0.500481,0.501764,0.502401,0.511781
0.9506,0.499706,0.500734,0.500957,0.504402,0.500113,0.501419,0.502055,0.506581
