x,0.005,0.015,SS,SS-1,SS-2,SS-3
0.93994,0.505903,0.515385,0.524391,0.504272,0.514042,0.524878
0.9493,0.505135,0.513606,0.521106,0.503818,0.512519,0.521428
0.94996,0.50508,0.513472,0.520869,0.503793,0.512409,0.52118
0.95057,0.50503,0.513347,0.520649,0.50377,0.512307,0.520949
0.99124,0.501538,0.502955,0.504573,0.503759,0.504623,0.504237
0.99124,0.501538,0.502955,0.504573,0.503759,0.504623,0.504237
0.99563,0.501155,0.501682,0.502735,0.503855,0.503733,0.502347
0.99875,0.500881,0.500771,0.501421,0.503924,0.503101,0.501004
0.99938,0.500826,0.500588,0.501157,0.503937,0.502975,0.500735
1,0.500772,0.500405,0.500894,0.503951,0.50285,0.500468
