y,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000
0.02500000,8.711539035548e-001,9.444442254016e-001,9.659771297866e-001,9.760050606887e-001
0.05000000,7.859131751257e-001,8.890454198531e-001,9.313711279026e-001,9.518418628315e-001
0.07500000,7.091310619471e-001,8.348699489666e-001,8.967052360188e-001,9.275961793296e-001
0.10000000,6.470720097104e-001,7.829573373698e-001,8.621069185780e-001,9.033074527175e-001
0.12500000,6.005426642674e-001,7.355249119678e-001,8.285683605539e-001,8.795800360848e-001
0.15000000,5.668423726850e-001,6.933924674038e-001,7.965201275205e-001,8.566296780789e-001
0.17500000,5.432403825716e-001,6.567064255933e-001,7.661523577236e-001,8.345258928146e-001
0.20000000,5.272448781982e-001,6.253626382194e-001,7.376007983441e-001,8.133137310094e-001
0.22500000,5.167493696309e-001,5.990608948472e-001,7.109641737730e-001,7.930253543271e-001
0.25000000,5.100817749445e-001,5.773651247626e-001,6.863042804417e-001,7.736804885922e-001
0.27500000,5.059860288038e-001,5.597590792718e-001,6.636474342014e-001,7.552873325482e-001
0.30000000,5.035606107987e-001,5.456936174610e-001,6.429869067869e-001,7.378436344505e-001
0.32500000,5.021810374971e-001,5.346238444947e-001,6.242861477778e-001,7.213378614368e-001
0.35000000,5.014281764161e-001,5.260358906785e-001,6.074827018313e-001,7.057504304453e-001
0.37500000,5.010312602710e-001,5.194641770064e-001,5.924923978608e-001,6.910549538095e-001
0.40000000,5.008243257471e-001,5.145006496104e-001,5.792137141656e-001,6.772194705093e-001
0.42500000,5.007123358792e-001,5.107977318268e-001,5.675322196028e-001,6.642076218000e-001
0.45000000,5.006450248619e-001,5.080667340928e-001,5.573248683534e-001,6.519797578453e-001
0.47500000,5.005979667573e-001,5.060732800678e-001,5.484639460219e-001,6.404939257262e-001
0.50000000,5.005602313803e-001,5.046310359805e-001,5.408205644928e-001,6.297068130545e-001
0.52500000,5.005273190344e-001,5.036017500623e-001,5.342906890362e-001,6.195889968892e-001
0.55000000,5.004972720072e-001,5.028633287436e-001,5.287230453019e-001,6.100798733321e-001
0.57500000,5.004693317766e-001,5.023336327150e-001,5.240015124466e-001,6.011358984295e-001
0.60000000,5.004431181991e-001,5.019518488048e-001,5.200176142279e-001,5.927143787024e-001
0.62500000,5.004184035968e-001,5.016736291845e-001,5.166713872689e-001,5.847737227124e-001
0.65000000,5.003950319276e-001,5.014670780886e-001,5.138718380516e-001,5.772735851999e-001
0.67500000,5.003728854190e-001,5.013095298997e-001,5.115370542349e-001,5.701749479453e-001
0.70000000,5.003518633473e-001,5.011850175186e-001,5.095940340448e-001,5.634401260703e-001
0.72500000,5.003318622370e-001,5.010823481683e-001,5.079783003432e-001,5.570327751837e-001
0.75000000,5.003127578292e-001,5.009936646091e-001,5.066333492647e-001,5.509178042505e-001
0.77500000,5.002943972719e-001,5.009134619118e-001,5.055099973276e-001,5.450614001655e-001
0.80000000,5.002765472204e-001,5.008375357224e-001,5.045656497567e-001,5.394308890592e-001
0.82500000,5.002587718138e-001,5.007622869454e-001,5.037635551647e-001,5.339949143241e-001
0.85000000,5.002404298736e-001,5.006847133075e-001,5.030720890899e-001,5.287237371967e-001
0.87500000,5.002205402016e-001,5.006020873395e-001,5.024640073654e-001,5.235897065932e-001
0.90000000,5.001977472011e-001,5.005118651783e-001,5.019165131774e-001,5.185732556141e-001
0.92500000,5.001701174570e-001,5.004111623320e-001,5.014104854891e-001,5.136656906860e-001
0.95000000,5.001356098388e-001,5.002999169778e-001,5.009382836675e-001,5.089333709488e-001
0.97500000,5.000963402339e-001,5.001825791781e-001,5.004884405797e-001,5.043520733646e-001
1.00000000,5.000000000000e-001,5.000000000000e-001,5.000000000000e-001,5.000000000000e-001
