x,0.005,0.015,0.05,SS,SS-1,SS-2,SS-3,SS-4
0.38864,0.499081,0.509118,0.578042,0.638238,0.502444,0.511154,0.590867,0.641409
0.3896,0.499081,0.509032,0.577547,0.637748,0.502434,0.511042,0.590354,0.6409
0.40436,0.499084,0.507722,0.570356,0.630409,0.502363,0.509559,0.582632,0.633186
0.42241,0.499097,0.506145,0.562678,0.621915,0.502453,0.508297,0.573681,0.624127
0.4401,0.499118,0.504548,0.556041,0.613983,0.502674,0.507517,0.565479,0.615685
0.44713,0.499128,0.503844,0.55359,0.610922,0.502787,0.507302,0.562391,0.61246
0.48205,0.499187,0.502168,0.542487,0.59651,0.503417,0.506692,0.548599,0.597587
0.49921,0.499222,0.50206,0.53749,0.589944,0.503687,0.506465,0.542884,0.591031
0.4993,0.499222,0.502059,0.537465,0.589911,0.503689,0.506463,0.542857,0.590998
0.49984,0.499223,0.502057,0.537311,0.589707,0.503696,0.506455,0.542687,0.590797
0.50006,0.499223,0.502056,0.537252,0.589628,0.503699,0.506452,0.542622,0.590721
0.51374,0.499252,0.501995,0.533592,0.584617,0.503852,0.506206,0.538651,0.585881
0.53906,0.49931,0.501898,0.527906,0.575818,0.503997,0.505621,0.532544,0.577712
0.53952,0.499311,0.501897,0.527815,0.575662,0.503998,0.505609,0.532446,0.57757
0.60918,0.499485,0.501655,0.51761,0.555869,0.503757,0.503781,0.522344,0.559061
0.60965,0.499486,0.501654,0.517557,0.55576,0.503754,0.50377,0.522301,0.558949
0.60978,0.499487,0.501653,0.517543,0.555732,0.503753,0.503768,0.522289,0.55892
0.61042,0.499488,0.501651,0.517471,0.555585,0.503748,0.503753,0.522231,0.558768
0.61055,0.499489,0.501651,0.517456,0.555555,0.503747,0.503751,0.522218,0.558737
0.61118,0.49949,0.501648,0.517386,0.555413,0.503743,0.503737,0.522162,0.558589
0.70714,0.499757,0.501331,0.508963,0.538186,0.503057,0.502642,0.516266,0.53849
0.71369,0.499776,0.501309,0.508565,0.537125,0.50303,0.502627,0.515887,0.537283
0.71714,0.499786,0.501298,0.508367,0.536558,0.503018,0.502622,0.515678,0.536656
0.71714,0.499786,0.501298,0.508366,0.536558,0.503018,0.502622,0.515678,0.536656
0.71717,0.499786,0.501298,0.508365,0.536553,0.503018,0.502622,0.515676,0.53665
0.71722,0.499786,0.501298,0.508362,0.536544,0.503017,0.502622,0.515673,0.536641
0.78859,0.499997,0.501066,0.505556,0.524704,0.503033,0.502871,0.510218,0.525163
