x,t=0.0025,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.01000000,9.447711470383e-01,9.626215087369e-01,9.791375701667e-01,9.876050465517e-01,9.942929583927e-01
0.02000000,8.899180041512e-01,9.249158229058e-01,9.583487088832e-01,9.756061167727e-01,9.890303316958e-01
0.03000000,8.364037878407e-01,8.873122270221e-01,9.374353858795e-01,9.635595920646e-01,9.837925911566e-01
0.04000000,7.859160489743e-01,8.504749878342e-01,9.166316979807e-01,9.515890366743e-01,9.786517566980e-01
0.05000000,7.399453894475e-01,8.151478965693e-01,8.962009311111e-01,9.398293030114e-01,9.736662782023e-01
0.06000000,6.989692245984e-01,7.816588781679e-01,8.762053107646e-01,9.282870542107e-01,9.688271046253e-01
0.07000000,6.631347100807e-01,7.502163781472e-01,8.566708935401e-01,9.169517411924e-01,9.641229232914e-01
0.08000000,6.323627397776e-01,7.209820010512e-01,8.376268706493e-01,9.058148561289e-01,9.595432641327e-01
0.09000000,6.063922428407e-01,6.940634871565e-01,8.191026286031e-01,8.948695075675e-01,9.550784020226e-01
0.10000000,5.848327149389e-01,6.695147701963e-01,8.011269205311e-01,8.841102439407e-01,9.507192897660e-01
0.11000000,5.672141412724e-01,6.473386045357e-01,7.837270987133e-01,8.735328897905e-01,9.464574975579e-01
0.12000000,5.530302232287e-01,6.274914472345e-01,7.669284739329e-01,8.631343939697e-01,9.422851583438e-01
0.13000000,5.417730761743e-01,6.098899200427e-01,7.507537554680e-01,8.529126896971e-01,9.381949184249e-01
0.14000000,5.329588850353e-01,5.944181707067e-01,7.352225426483e-01,8.428665584974e-01,9.341798927596e-01
0.15000000,5.261450488515e-01,5.809355973532e-01,7.203509529102e-01,8.329955178671e-01,9.302336243624e-01
0.16000000,5.209399724528e-01,5.692844629980e-01,7.061513543173e-01,8.232997117305e-01,9.263500477471e-01
0.17000000,5.170069616636e-01,5.592969991755e-01,6.926321857795e-01,8.137797919813e-01,9.225234536700e-01
0.18000000,5.140637306603e-01,5.508017273279e-01,6.797978777150e-01,8.044368214209e-01,9.187484624099e-01
0.19000000,5.118789164021e-01,5.436288246847e-01,6.676488553251e-01,7.952721848361e-01,9.150199959111e-01
0.20000000,5.102667875199e-01,5.376144545862e-01,6.561816131278e-01,7.862875046791e-01,9.113332482516e-01
0.21000000,5.090810884009e-01,5.326040593669e-01,6.453888703183e-01,7.774845632252e-01,9.076836643096e-01
0.22000000,5.082087115391e-01,5.284546741091e-01,6.352597843349e-01,7.688652310301e-01,9.040669186508e-01
0.23000000,5.075636683966e-01,5.250363612477e-01,6.257802137513e-01,7.604314013461e-01,9.004788961469e-01
0.24000000,5.070816445503e-01,5.222328915672e-01,6.169330239965e-01,7.521849301119e-01,8.969156741995e-01
0.25000000,5.067152822442e-01,5.199418085110e-01,6.086984225039e-01,7.441275844028e-01,8.933735065400e-01
0.26000000,5.064302300288e-01,5.180740128478e-01,6.010543150664e-01,7.362609938753e-01,8.898488085887e-01
0.27000000,5.062019294725e-01,5.165529965549e-01,5.939766732727e-01,7.285866062141e-01,8.863381467569e-01
0.28000000,5.060130669889e-01,5.153138409815e-01,5.874399047873e-01,7.211056509999e-01,8.828382359022e-01
0.29000000,5.058515985690e-01,5.143020773976e-01,5.814172185466e-01,7.138191074212e-01,8.793459950703e-01
0.30000000,5.057092504324e-01,5.134724898758e-01,5.758809780234e-01,7.067276782301e-01,8.758585136086e-01
0.31000000,5.055804034861e-01,5.127879225934e-01,5.708030368376e-01,6.998317676702e-01,8.723727978635e-01
0.32000000,5.054612793486e-01,5.122181371508e-01,5.661550520116e-01,6.931314630041e-01,8.688858325204e-01
0.33000000,5.053493574998e-01,5.117387510111e-01,5.619087712223e-01,6.866265220517e-01,8.653947861123e-01
0.34000000,5.052429652599e-01,5.113302760078e-01,5.580362914068e-01,6.803163643887e-01,8.618970646734e-01
0.35000000,5.051409939516e-01,5.109772661118e-01,5.545102870371e-01,6.742000660750e-01,8.583901566100e-01
0.36000000,5.050427052517e-01,5.106675761800e-01,5.513042072545e-01,6.682763583574e-01,8.548714944317e-01
0.37000000,5.049476009033e-01,5.103917280122e-01,5.483924418336e-01,6.625436296545e-01,8.513385497341e-01
0.38000000,5.048553363658e-01,5.101423764035e-01,5.457504566287e-01,6.569999305553e-01,8.477888388105e-01
0.39000000,5.047656645901e-01,5.099138656830e-01,5.433548997263e-01,6.516429816293e-01,8.442199219037e-01
0.40000000,5.046784001703e-01,5.097018661611e-01,5.411836799881e-01,6.464701837005e-01,8.406293983177e-01
0.41000000,5.045933970145e-01,5.095030796863e-01,5.392160200311e-01,6.414786303338e-01,8.370149017425e-01
0.42000000,5.045105347346e-01,5.093150038855e-01,5.374324859486e-01,6.366651222119e-01,8.333740956829e-01
0.43000000,5.044297104638e-01,5.091357454263e-01,5.358149962465e-01,6.320261831107e-01,8.297046692062e-01
0.44000000,5.043508339169e-01,5.089638736230e-01,5.343468125478e-01,6.275580771989e-01,8.260043329493e-01
0.45000000,5.042738243213e-01,5.087983067914e-01,5.330125146278e-01,6.232568273897e-01,8.222708155664e-01
