y,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.02500000,8.711539035548e-01,9.444442254016e-01,9.659771297866e-01,9.760050606887e-01
0.05000000,7.859131751257e-01,8.890454198531e-01,9.313711279026e-01,9.518418628315e-01
0.07500000,7.091310619471e-01,8.348699489666e-01,8.967052360188e-01,9.275961793296e-01
0.10000000,6.470720097104e-01,7.829573373699e-01,8.621069185780e-01,9.033074527176e-01
0.12500000,6.005426642674e-01,7.355249119678e-01,8.285683605539e-01,8.795800360848e-01
0.15000000,5.668423726850e-01,6.933924674038e-01,7.965201275205e-01,8.566296780789e-01
0.17500000,5.432403825716e-01,6.567064255933e-01,7.661523577236e-01,8.345258928146e-01
0.20000000,5.272448781982e-01,6.253626382194e-01,7.376007983441e-01,8.133137310095e-01
0.22500000,5.167493696309e-01,5.990608948472e-01,7.109641737730e-01,7.930253543271e-01
0.25000000,5.100817749445e-01,5.773651247626e-01,6.863042804417e-01,7.736804885923e-01
0.27500000,5.059860288038e-01,5.597590792718e-01,6.636474342014e-01,7.552873325482e-01
0.30000000,5.035606107987e-01,5.456936174610e-01,6.429869067869e-01,7.378436344505e-01
0.32500000,5.021810374971e-01,5.346238444947e-01,6.242861477778e-01,7.213378614368e-01
0.35000000,5.014281764161e-01,5.260358906785e-01,6.074827018313e-01,7.057504304454e-01
0.37500000,5.010312602710e-01,5.194641770064e-01,5.924923978608e-01,6.910549538095e-01
0.40000000,5.008243257471e-01,5.145006496104e-01,5.792137141656e-01,6.772194705093e-01
0.42500000,5.007123358792e-01,5.107977318268e-01,5.675322196028e-01,6.642076218000e-01
0.45000000,5.006450248619e-01,5.080667340928e-01,5.573248683534e-01,6.519797578453e-01
0.47500000,5.005979667573e-01,5.060732800678e-01,5.484639460219e-01,6.404939257262e-01
0.50000000,5.005602313803e-01,5.046310359805e-01,5.408205644928e-01,6.297068130545e-01
0.52500000,5.005273190344e-01,5.036017500623e-01,5.342906890362e-01,6.195889968892e-01
0.55000000,5.004972720072e-01,5.028633287436e-01,5.287230453019e-01,6.100798733321e-01
0.57500000,5.004693317766e-01,5.023336327150e-01,5.240015124466e-01,6.011358984295e-01
0.60000000,5.004431181991e-01,5.019518488048e-01,5.200176142279e-01,5.927143787024e-01
0.62500000,5.004184035968e-01,5.016736291845e-01,5.166713872689e-01,5.847737227124e-01
0.65000000,5.003950319276e-01,5.014670780886e-01,5.138718380516e-01,5.772735851999e-01
0.67500000,5.003728854190e-01,5.013095298997e-01,5.115370542349e-01,5.701749479453e-01
0.70000000,5.003518633473e-01,5.011850175186e-01,5.095940340448e-01,5.634401260703e-01
0.72500000,5.003318622370e-01,5.010823481683e-01,5.079783003432e-01,5.570327751837e-01
0.75000000,5.003127578292e-01,5.009936646091e-01,5.066333492647e-01,5.509178042505e-01
0.77500000,5.002943972719e-01,5.009134619118e-01,5.055099973276e-01,5.450614001655e-01
0.80000000,5.002765472204e-01,5.008375357224e-01,5.045656497567e-01,5.394308890592e-01
0.82500000,5.002587718138e-01,5.007622869454e-01,5.037635551647e-01,5.339949143241e-01
0.85000000,5.002404298736e-01,5.006847133075e-01,5.030720890899e-01,5.287237371967e-01
0.87500000,5.002205402016e-01,5.006020873395e-01,5.024640073654e-01,5.235897065932e-01
0.90000000,5.001977472011e-01,5.005118651783e-01,5.019165131774e-01,5.185732556141e-01
0.92500000,5.001701174570e-01,5.004111623320e-01,5.014104854891e-01,5.136656906861e-01
0.95000000,5.001356098388e-01,5.002999169778e-01,5.009382836675e-01,5.089333709488e-01
0.97500000,5.000963402339e-01,5.001825791781e-01,5.004884405797e-01,5.043520733647e-01
1.00000000,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01
