y,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.02500000,8.735353240204e-01,9.437202872706e-01,9.637895759658e-01,9.716614542460e-01
0.05000000,7.916279449661e-01,8.929809833028e-01,9.325245764111e-01,9.483439637701e-01
0.07500000,7.172612952101e-01,8.430703711454e-01,9.013851980518e-01,9.252626903248e-01
0.10000000,6.566891500919e-01,7.951860672455e-01,8.707779868251e-01,9.027987444415e-01
0.12500000,6.108826090383e-01,7.512446717398e-01,8.414825659232e-01,8.814697952506e-01
0.15000000,5.773986565410e-01,7.118783756497e-01,8.136338536427e-01,8.612593712095e-01
0.17500000,5.536900566329e-01,6.772411210850e-01,7.872478921258e-01,8.420924084562e-01
0.20000000,5.373893861978e-01,6.472804280792e-01,7.623390620656e-01,8.238958475855e-01
0.22500000,5.264722557661e-01,6.217741773896e-01,7.389192960664e-01,8.066022762492e-01
0.25000000,5.193204584826e-01,6.003777172658e-01,7.169975140112e-01,7.901526253991e-01
0.27500000,5.147135171599e-01,5.826697082900e-01,6.965774982986e-01,7.744964686737e-01
0.30000000,5.117736048894e-01,5.681921426642e-01,6.776548722992e-01,7.595905652552e-01
0.32500000,5.098919223700e-01,5.564825695105e-01,6.602142376063e-01,7.453966327338e-01
0.35000000,5.086593401458e-01,5.470980517829e-01,6.442271731805e-01,7.318791301359e-01
0.37500000,5.078108908763e-01,5.396313255382e-01,6.296514141298e-01,7.190034746311e-01
0.40000000,5.071832685656e-01,5.337202306055e-01,6.164312389800e-01,7.067348418499e-01
0.42500000,5.066818002330e-01,5.290517330762e-01,6.044987461823e-01,6.950375344273e-01
0.45000000,5.062550011989e-01,5.253618980299e-01,5.937758724296e-01,6.838748122912e-01
0.47500000,5.058762341675e-01,5.224330709649e-01,5.841768954071e-01,6.732090438505e-01
0.50000000,5.055318418187e-01,5.200893377897e-01,5.756110799093e-01,6.630020345878e-01
0.52500000,5.052149128748e-01,5.181991219221e-01,5.680053570712e-01,6.532245142133e-01
0.55000000,5.049201595042e-01,5.166415791357e-01,5.612418420068e-01,6.438274310177e-01
0.57500000,5.046443914222e-01,5.153343116696e-01,5.552289338578e-01,6.347730892637e-01
0.60000000,5.043851849396e-01,5.142146471015e-01,5.498782471027e-01,6.260244126884e-01
0.62500000,5.041406698106e-01,5.132352508812e-01,5.451056300721e-01,6.175449666360e-01
0.65000000,5.039094037016e-01,5.123603900859e-01,5.408318033811e-01,6.092989035745e-01
0.67500000,5.036902472042e-01,5.115628136703e-01,5.369826687367e-01,6.012508994203e-01
0.70000000,5.034822111575e-01,5.108213162324e-01,5.334893332726e-01,5.933660260033e-01
0.72500000,5.032842755958e-01,5.101189556338e-01,5.302879568412e-01,5.856098645842e-01
0.75000000,5.030952148389e-01,5.094417139483e-01,5.273194145095e-01,5.779489839730e-01
0.77500000,5.029135209936e-01,5.087747843882e-01,5.245291723242e-01,5.703514814739e-01
0.80000000,5.027368924152e-01,5.081028999570e-01,5.218675036325e-01,5.627821409333e-01
0.82500000,5.025610299351e-01,5.074092528260e-01,5.192894108351e-01,5.552022512155e-01
0.85000000,5.023796092353e-01,5.066770921382e-01,5.167482148283e-01,5.475743910937e-01
0.87500000,5.021829466658e-01,5.058869101333e-01,5.141972380597e-01,5.398637407615e-01
0.90000000,5.019576589565e-01,5.050157405770e-01,5.115922869202e-01,5.320366750550e-01
0.92500000,5.016846446931e-01,5.040373459244e-01,5.089007294628e-01,5.241026905992e-01
0.95000000,5.013436752639e-01,5.029519758471e-01,5.061542458758e-01,5.162002207819e-01
0.97500000,5.009556505575e-01,5.018046431175e-01,5.033889557161e-01,5.083470392980e-01
1.00000000,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01
