x,t=0.0025,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.01000000,9.459563245424e-01,9.641271804005e-01,9.812277043126e-01,9.899211123636e-01,9.944791982541e-01
0.02000000,8.918589110275e-01,9.275668126185e-01,9.623099084159e-01,9.801483216692e-01,9.894421701616e-01
0.03000000,8.390414525811e-01,8.910576946383e-01,9.432451241130e-01,9.703333506907e-01,9.844392566361e-01
0.04000000,7.891553980020e-01,8.552255863702e-01,9.242328182510e-01,9.605782449618e-01,9.795466407786e-01
0.05000000,7.436882190303e-01,8.208014990163e-01,9.055144358784e-01,9.509935835140e-01,9.748220474047e-01
0.06000000,7.031375069215e-01,7.881263111097e-01,8.871567348767e-01,9.415857793880e-01,9.702558189490e-01
0.07000000,6.676614224213e-01,7.574149494984e-01,8.691881149390e-01,9.323464415033e-01,9.658370809981e-01
0.08000000,6.371908574282e-01,7.288354158311e-01,8.516395863736e-01,9.232685864817e-01,9.615556374817e-01
0.09000000,6.114735744982e-01,7.025015891583e-01,8.345419841729e-01,9.143463355797e-01,9.574019046088e-01
0.10000000,5.901268428153e-01,6.784732625549e-01,8.179252536230e-01,9.055748115904e-01,9.533668638968e-01
0.11000000,5.726873130147e-01,6.567588489707e-01,8.018177935114e-01,8.969500403533e-01,9.494420184298e-01
0.12000000,5.586543335142e-01,6.373202309157e-01,7.862458705993e-01,8.884688578760e-01,9.456193525411e-01
0.13000000,5.475247427676e-01,6.200791589875e-01,7.712331123518e-01,8.801288216469e-01,9.418912947451e-01
0.14000000,5.388186322479e-01,6.049245872810e-01,7.568000817532e-01,8.719281262575e-01,9.382506836004e-01
0.15000000,5.320966024078e-01,5.917203821469e-01,7.429639394286e-01,8.638655238011e-01,9.346907362212e-01
0.16000000,5.269696626088e-01,5.803129185643e-01,7.297381945727e-01,8.559402481080e-01,9.312050191841e-01
0.17000000,5.231032268810e-01,5.705381793604e-01,7.171325429318e-01,8.481519428761e-01,9.277874216064e-01
0.18000000,5.202167109885e-01,5.622280804456e-01,7.051527893284e-01,8.405005935966e-01,9.244321301965e-01
0.19000000,5.180801249010e-01,5.552158472736e-01,6.938008500600e-01,8.329864632195e-01,9.211336060948e-01
0.20000000,5.165088477530e-01,5.493403619216e-01,6.830748291237e-01,8.256100315214e-01,9.178865633460e-01
0.21000000,5.153575260843e-01,5.444494771773e-01,6.729691609844e-01,8.183719381636e-01,9.146859488562e-01
0.22000000,5.145137898179e-01,5.404023542643e-01,6.634748109310e-01,8.112729294370e-01,9.115269237088e-01
0.23000000,5.138922581012e-01,5.370709230451e-01,6.545795242474e-01,8.043138086996e-01,9.084048457208e-01
